Exercise_Name,Base_Lift,exercise_id
Cable Kickback,Best3BenchKg,477
Cable Lateral Raise (Lengthened-Mid Position),Best3DeadliftKg,478
Cable Low Row,Best3DeadliftKg,479
Cable Oblique Twist,Best3DeadliftKg,480
Cable Overhead Curl,Best3DeadliftKg,481
Cable Overhead Extension,Best3BenchKg,482
Cable Paused Shrug-In,Best3DeadliftKg,483
Cable Preacher Curls,Best3DeadliftKg,484
Cable Pronations,Best3DeadliftKg,485
Cable Pull-Through,Best3DeadliftKg,486
Cable Pushdown,Best3BenchKg,487
Cable Rear Delt Fly,Best3BenchKg,488
Cable Rear Delt Flys (POSTERIOR DELT; Mid/Lengthened Position),Best3BenchKg,489
Cable Reverse Curl,Best3DeadliftKg,490
Cable Reverse Flye,Best3BenchKg,491
Cable Romanian Deadlift,Best3DeadliftKg,492
Cable Rope Seated Crunches,Cardio_Core,493
Cable Rotation,Best3DeadliftKg,494
Cable Rotational Twists,Best3DeadliftKg,495
Cable Shrugs,Best3DeadliftKg,496
Cable Standing Pullover,Best3DeadliftKg,497
Cable Step Up,Best3SquatKg,498
Cable Stretch Drag Curls,Cardio_Core,499
Cable Tib Raises,Best3BenchKg,500
Cable Tricep Kickback,Best3BenchKg,501
Cable Tricep Push Away,Best3BenchKg,502
Cable Tricep Pushdown (12-15),Best3BenchKg,503
Cable Triceps Kickback,Best3BenchKg,504
Cable Twists,Best3DeadliftKg,505
Cable Unilateral Tricep Pushdowns,Best3DeadliftKg,506
Cable V-Bar Seated Rows,Best3DeadliftKg,507
Cable Wood Choppers,Best3DeadliftKg,508
Cable Woodchopper,Best3DeadliftKg,509
Cable Woodchoppers,Best3DeadliftKg,510
Cable Wrist Curl,Best3DeadliftKg,511
Cable Wrist Curls (12-15),Best3DeadliftKg,512
Cable Wrist Pushdown,Best3BenchKg,513
Cable Y Raise,Best3BenchKg,514
Cable Y Raise (Rehab),Best3BenchKg,515
Cable abduction,Best3DeadliftKg,516
Cable external rotation - elbow low,Best3DeadliftKg,517
Cable twists,Best3DeadliftKg,518
Cable/Machine Fly (12-15),Best3DeadliftKg,519
Calf Extension (Machine),Best3SquatKg,520
Calf Extension Machine,Best3SquatKg,521
Calf Press,Best3SquatKg,522
Calf Press (Leg Press Machine),Best3SquatKg,523
Calf Press On Hack Squat,Best3SquatKg,524
Calf Raise,Best3SquatKg,525
Calf Raise (15-20),Best3SquatKg,526
Calf Raise (Bodyweight),Best3SquatKg,527
Calf Raise (Leg Press),Best3SquatKg,528
Calf Raise (Machine),Best3SquatKg,529
Calf Raise (Smith Machine),Best3SquatKg,530
Calf Raise - Leg Press Machine,Best3SquatKg,531
Calf Raise Machine,Best3SquatKg,532
Calf Raise Smith Machine,Best3SquatKg,533
Calf Raise Sumo,Best3SquatKg,534
Cambered Bar Barbell Bench press,Best3BenchKg,535
Cambered Bar Bench Press,Best3BenchKg,536
Cambered Bar Larsen Press,Best3BenchKg,537
Cambered Bar Squat,Best3SquatKg,538
Cannonball Crunch,Cardio_Core,539
Captains Of Crush Gripper,Cardio_Core,540
Cardio,Cardio_Core,541
Cardio (LISS),Cardio_Core,542
Cardio (Zone 2),Cardio_Core,543
Cardio 30-45min,Cardio_Core,544
Carioca Quick Step 10 Yards,Best3SquatKg,545
Carry & Drag Medley,Cardio_Core,546
Carry medley,Best3DeadliftKg,547
Cartwheel,Best3DeadliftKg,548
Cast Backward Circle,Cardio_Core,549
Cat Cow Stretch,Cardio_Core,550
Cat Cow and T-Spine Rotation,Cardio_Core,551
Cat-Cow Stretch,Cardio_Core,552
Change Of Direction Sprints,Cardio_Core,553
Cheat Lateral Raise,Best3DeadliftKg,554
Chest Dips,Best3BenchKg,555
Chest Dips (Cable),Best3BenchKg,556
Chest Fly (Cable),Best3BenchKg,557
Chest Fly (Dumbbell),Best3BenchKg,558
Chest Fly (Machine),Best3DeadliftKg,559
Chest Fly Press (Machine),Best3DeadliftKg,560
Chest Fly press (DB),Best3BenchKg,561
Chest Press,Best3BenchKg,562
Chest Press (Convergent),Cardio_Core,563
Chest Press (Dumbbell),Best3BenchKg,564
Chest Press (Machine),Best3DeadliftKg,565
Chest Press (Resistance Band),Cardio_Core,566
Chest Press (TRX),Best3BenchKg,567
Chest Press (dumbbell),Best3BenchKg,568
Chest Press Cable,Best3BenchKg,569
Chest Press-Around,Best3BenchKg,570
Chest Pull Over,Best3DeadliftKg,571
Chest Supported Barbell Lat Row,Best3DeadliftKg,572
Chest Supported Barbell Row,Best3DeadliftKg,573
Chest Supported Cable Row,Best3DeadliftKg,574
Chest Supported Curl,Best3DeadliftKg,575
Chest Supported DB Lateral Raise,Best3DeadliftKg,576
Chest Supported Dumbbell Lateral Raise,Best3DeadliftKg,577
Chest Supported Dumbbell Lateral Raises,Best3DeadliftKg,578
Chest Supported Dumbells Lateral Raise,Best3DeadliftKg,579
Chest Supported Incline Shrug,Best3DeadliftKg,580
Chest Supported Lateral Raise,Best3DeadliftKg,581
Chest Supported Low Row,Best3DeadliftKg,582
Chest Supported Machine Row Stack Loaded,Best3DeadliftKg,583
Chest Supported Rear Delt Fly (Dumbbell),Best3BenchKg,584
Chest Supported Rear Fly,Best3BenchKg,585
Chest Supported Reverse Fly (Dumbbell),Best3BenchKg,586
Chest Supported Row,Best3DeadliftKg,587
"Chest Supported Row (12,10,8,6,4)",Best3DeadliftKg,588
Chest Supported Row (12-15),Best3DeadliftKg,589
Chest Supported Row (Dumbbell),Best3DeadliftKg,590
Chest Supported Row (Machine Or Freeweight),Best3DeadliftKg,591
Chest Supported Row (Machine),Best3DeadliftKg,592
Chest Supported Row (Smith Machine),Best3DeadliftKg,593
